platform_id,contact_mail,website
95,gtewari@me.com,smugmug.com
96,pdbaby@yahoo.ca,statcounter.com
97,nogin@verizon.net,typepad.com
98,cisugrad@yahoo.com,free13runpool.com
99,mallanmba@icloud.com,delicious.com
100,fviegas@verizon.net,sohu.com
101,matloff@hotmail.com,ucoz.com
102,portscan@sbcglobal.net,globo.com
103,djpig@icloud.com,joomla.org
104,null,wufoo.com
105,null,japanpost.jp
106,petersen@me.com,google.com.hk
107,tskirvin@yahoo.ca,google.ca
108,bradl@yahoo.com,blogspot.com
109,eurohack@sbcglobal.net,about.me
110,null,null
111,anicolao@outlook.com,google.com.au
112,durist@yahoo.ca,squarespace.com
113,dbanarse@sbcglobal.net,blog.com
114,raines@live.com,cbslocal.com
115,kuparine@me.com,eepurl.com
116,gilmoure@att.net,howstuffworks.com
117,dmiller@gmail.com,time.com
118,matloff@me.com,japanpost.jp
119,vertigo@live.com,microsoft.com
120,munge@icloud.com,about.me
121,bjornk@sbcglobal.net,pbs.org
122,fukuchi@live.com,infoseek.co.jp
123,drhyde@yahoo.ca,null
124,null,bbb.org
125,rfisher@aol.com,goo.ne.jp
126,null,about.com
127,rsteiner@att.net,de.vu
128,ganter@att.net,artisteer.com
129,magusnet@live.com,tmall.com
130,mlewan@live.com,time.com
131,skoch@verizon.net,livejournal.com
132,sjmuir@gmail.com,cbslocal.com
133,michiel@mac.com,tmall.com
134,biglou@optonline.net,slideshare.net
135,crobles@att.net,g.co
136,null,tmall.com
137,heine@comcast.net,livejournal.com
138,mxiao@comcast.net,pagesperso-orange.fr
139,hakim@outlook.com,scribd.com
140,andrewik@outlook.com,mit.edu
141,blixem@att.net,ameblo.jp
142,bescoto@msn.com,blogger.com
143,skippy@yahoo.ca,disqus.com
144,dbrobins@outlook.com,yellowpages.com
145,benanov@verizon.net,tinyurl.com
146,heckerman@msn.com,spotify.com
147,null,null
148,crowemojo@mac.com,webnode.com
149,gtewari@sbcglobal.net,g.co
150,kewley@mac.com,unicef.org
151,pappp@gmail.com,auda.org.au
152,michiel@me.com,tinyurl.com
153,hikoza@comcast.net,ucoz.com
154,murty@yahoo.com,dedecms.com
155,sthomas@yahoo.com,shareasale.com
156,stinson@comcast.net,jalbum.net
157,larry@icloud.com,state.tx.us
158,crusader@yahoo.ca,wired.com
159,timtroyr@mac.com,aboutads.info
160,malattia@live.com,addtoany.com
161,staffelb@gmail.com,about.com
162,null,mtv.com
163,null,dedecms.com
164,andrewik@verizon.net,livejournal.com
165,dbanarse@live.com,microsoft.com
166,falcao@comcast.net,princeton.edu
167,sartak@me.com,null
168,staffelb@verizon.net,yolasite.com
169,luvirini@live.com,null
170,drezet@att.net,slideshare.net
171,null,zdnet.com
172,pavel@att.net,sbwire.com
173,stellaau@yahoo.ca,smugmug.com
174,uncled@aol.com,eepurl.com
175,baveja@yahoo.com,gnu.org
176,novanet@msn.com,webeden.co.uk
177,elflord@live.com,msu.edu
178,devphil@me.com,blinklist.com
179,mstrout@yahoo.ca,ameblo.jp
